date,open,close,high,low,volume,amount
2021-12-16,94.89,92.63,95.06,90.23,278665.0,7928142080.0
2021-12-17,91.89,90.22,92.52,90.1,151118.0,4240478256.0
2021-12-20,90.3,87.39,91.05,86.65,217845.0,5964658176.0
2021-12-21,87.39,89.3,89.49,87.03,149653.0,4098708736.0
2021-12-22,90.56,90.3,92.29,89.56,144442.0,4061024224.0
2021-12-23,91.24,90.56,92.19,89.61,123021.0,3451820144.0
2021-12-24,91.22,87.23,91.23,85.55,209969.0,5675961344.0
2021-12-27,86.89,86.24,87.74,85.89,107190.0,2874395600.0
2021-12-28,86.61,87.51,87.56,85.96,118543.0,3183320992.0
2021-12-29,87.94,86.89,87.97,84.89,141603.0,3783958096.0
2021-12-30,86.56,86.27,88.22,85.89,117327.0,3158736176.0
2021-12-31,88.23,86.6,88.62,86.23,116292.0,3136714688.0
2022-01-04,89.23,87.56,90.38,85.63,244661.0,6673692672.0
2022-01-05,85.41,81.65,86.05,81.13,301709.0,7725244416.0
2022-01-06,80.56,80.57,82.07,79.86,175908.0,4396413696.0
2022-01-07,81.16,79.39,81.55,78.89,161934.0,4009535488.0
2022-01-10,78.89,79.33,80.38,76.9,162142.0,3964485472.0
2022-01-11,79.32,76.92,79.32,76.49,212441.0,5100240640.0
2022-01-12,79.23,82.56,82.56,78.66,323602.0,8103336192.0
2022-01-13,83.14,82.33,83.41,80.1,217104.0,5516666112.0
2022-01-14,80.83,81.61,82.99,80.56,149548.0,3798549600.0
2022-01-17,81.57,86.06,86.39,81.57,241145.0,6349270784.0
2022-01-18,86.03,85.92,86.88,84.66,125054.0,3325099872.0
2022-01-19,85.88,81.55,86.52,80.66,231882.0,5960665088.0
2022-01-20,81.26,80.92,81.8,79.56,149986.0,3759819344.0
2022-01-21,80.92,80.69,82.47,79.34,112394.0,2822719632.0
2022-01-24,79.25,81.03,81.52,78.65,108377.0,2706367136.0
2022-01-25,79.89,77.33,80.89,77.23,172772.0,4222848976.0
2022-01-26,78.89,80.39,81.02,78.0,174446.0,4321964288.0
2022-01-27,79.56,77.65,80.33,77.56,132650.0,3242987824.0
2022-01-28,77.22,72.83,77.89,70.48,324373.0,7392709632.0
2022-02-07,77.49,78.69,80.32,76.56,251125.0,6117950208.0
2022-02-08,78.23,76.22,78.23,74.11,199040.0,4669049088.0
2022-02-09,76.91,78.95,79.36,75.57,199929.0,4854528768.0
2022-02-10,79.48,77.27,79.89,76.59,146285.0,3521519984.0
2022-02-11,75.91,73.96,77.27,73.39,199439.0,4646312960.0
2022-02-14,73.96,74.55,75.56,72.23,133199.0,3079221408.0
2022-02-15,74.62,76.66,77.21,74.62,158524.0,3757722224.0
2022-02-16,77.89,77.43,78.89,77.36,128725.0,3117890736.0
2022-02-17,77.97,79.03,80.14,76.89,191064.0,4670631680.0
2022-02-18,77.56,78.21,79.02,77.23,99105.0,2407158416.0
2022-02-21,77.56,77.86,79.16,77.11,109538.0,2657589024.0
2022-02-22,76.89,76.38,76.89,75.33,125452.0,2966441424.0
2022-02-23,77.86,81.23,81.4,76.9,291149.0,7232162048.0
2022-02-24,79.93,78.85,81.15,77.75,238220.0,5865805824.0
2022-02-25,80.53,79.84,81.35,79.84,146014.0,3646918800.0
2022-02-28,79.53,80.43,80.62,79.23,118291.0,2936223648.0
2022-03-01,82.23,81.15,82.76,80.31,176520.0,4476715008.0
2022-03-02,80.23,80.09,80.35,78.55,121242.0,2998567648.0
2022-03-03,80.4,78.96,80.85,78.56,99633.0,2449485392.0
2022-03-04,76.33,75.16,77.85,73.89,291706.0,6857430784.0
2022-03-07,72.86,71.76,73.12,70.57,236129.0,5286036224.0
2022-03-08,70.92,69.29,72.39,67.23,291499.0,6317187584.0
2022-03-09,69.56,71.76,71.76,67.23,251135.0,5484773632.0
2022-03-10,74.86,73.59,75.04,73.56,248343.0,5744788992.0
2022-03-11,71.23,73.84,74.49,70.57,186116.0,4186645904.0
2022-03-14,72.23,70.23,72.23,70.23,150841.0,3336922832.0
2022-03-15,67.6,68.16,71.23,67.04,198204.0,4269341888.0
2022-03-16,70.89,73.7,73.89,68.63,333766.0,7432043520.0
2022-03-17,77.35,75.53,77.52,75.45,315844.0,7518685440.0
2022-03-18,75.53,75.39,76.85,74.58,150549.0,3530653264.0
2022-03-21,77.23,79.02,80.18,76.62,279178.0,6829415168.0
2022-03-22,78.89,78.83,79.69,77.9,115079.0,2815900944.0
2022-03-23,80.56,79.62,80.89,79.32,148501.0,3696654256.0
2022-03-24,78.46,79.59,80.56,78.03,113681.0,2794432832.0
2022-03-25,79.59,75.66,80.21,75.23,208024.0,4984988416.0
2022-03-28,75.53,74.03,75.53,73.52,143104.0,3306510720.0
2022-03-29,74.87,74.23,76.06,73.49,138587.0,3224438272.0
2022-03-30,72.89,76.23,76.23,71.3,251260.0,5807876352.0
2022-03-31,75.3,73.83,75.56,72.86,161731.0,3721363312.0
2022-04-01,72.82,75.88,77.08,72.76,182948.0,4301758464.0
2022-04-06,78.89,77.86,79.23,77.1,205293.0,4976485376.0
2022-04-07,77.23,77.23,78.99,76.9,122700.0,2964659968.0
2022-04-08,77.23,78.55,79.39,76.93,171719.0,4185742784.0
2022-04-11,77.23,74.89,77.72,73.73,193070.0,4519392512.0
2022-04-12,74.56,76.61,76.75,74.29,128889.0,3034073568.0
2022-04-13,75.57,76.23,77.88,74.9,109673.0,2614119776.0
2022-04-14,77.89,77.66,78.89,77.52,131638.0,3198011072.0
2022-04-15,76.73,75.96,77.23,74.81,129239.0,3049510864.0
2022-04-18,75.49,76.93,77.56,73.89,110592.0,2613800704.0
2022-04-19,78.28,78.85,80.86,78.27,207782.0,5140377856.0
2022-04-20,79.78,77.82,80.0,77.51,130781.0,3187144240.0
2022-04-21,76.48,75.24,77.48,74.59,154049.0,3625535264.0
2022-04-22,73.9,75.69,75.78,73.58,108162.0,2522975072.0
2022-04-25,73.89,73.06,76.04,72.77,161889.0,3741670656.0
